data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
SD2L50_4,0.987,0.96,0.993,0.98,0.8,0.44,1,1,0.96,0.88
SD2L50_3,0.987,0.96,0.993,0.98,0.98,0.94,1,1,0.98,0.94
SD2L50_2,0.987,0.96,0.993,0.98,0.96,0.88,0.973,0.92,0.993,0.98
SD2L50_1,0.987,0.96,0.993,0.98,0.973,0.92,0.987,0.96,1,1
,,,,,0.9386,0.824,0.9666,0.9,0.9612,0.884
,,,,,0.077908921,0.216055548,0.053500467,0.16,0.051601357,0.15453155
,,,,,,,,,,
SD3H1000_5,0.753,0.245,0.757,0.256,0.877,0.519,0.88,0.533,0.856,0.57
SD3H1000_4,0.753,0.245,0.757,0.256,0.87,0.508,0.867,0.478,0.821,0.415
SD3H1000_3,0.753,0.245,0.757,0.256,0.867,0.495,0.879,0.537,0.832,0.439
SD3H1000_2,0.753,0.245,0.757,0.256,0.863,0.484,0.869,0.504,0.855,0.57
SD3H1000_1,0.753,0.245,0.757,0.256,0.862,0.461,0.88,0.529,0.855,0.568
,,,,,0.8678,0.4934,0.875,0.5162,0.8438,0.5124
,,,,,0.006058052,0.02241205,0.006442049,0.024933913,0.016269604,0.078423848
,,,,,,,,,,
SD3H300_5,0.758,0.273,0.757,0.237,0.886,0.547,0.881,0.533,0.859,0.547
SD3H300_4,0.758,0.273,0.757,0.237,0.894,0.58,0.906,0.657,0.858,0.54
SD3H300_3,0.758,0.273,0.757,0.237,0.869,0.47,0.905,0.633,0.859,0.547
SD3H300_2,0.758,0.273,0.757,0.237,0.885,0.553,0.884,0.54,0.867,0.577
SD3H300_1,0.758,0.273,0.757,0.237,0.872,0.48,0.908,0.663,0.857,0.53
,,,,,0.8812,0.526,0.8968,0.6052,0.86,0.5482
,,,,,0.010425929,0.048316664,0.013141537,0.063758921,0.004,0.01754138
,,,,,,,,,,
SD3H50_5,0.76,0.32,0.756,0.24,0.888,0.54,0.916,0.68,0.812,0.36
SD3H50_4,0.76,0.32,0.756,0.24,0.88,0.5,0.912,0.68,0.792,0.3
SD3H50_3,0.76,0.32,0.756,0.24,0.908,0.6,0.908,0.7,0.768,0.26
SD3H50_2,0.76,0.32,0.756,0.24,0.868,0.44,0.92,0.74,0.8,0.32
